id,name,translation,created_at,updated_at
0,unknown,,2025-03-15 18:34:18.382,2025-03-15 18:34:16
2,alcoholic_beverages,,2025-03-15 10:58:13.937,2025-03-15 10:58:13.937
3,baking_ingredients,,2025-03-15 10:58:13.937,2025-03-15 10:58:13.937
4,broths_stocks,,2025-03-15 10:58:13.937,2025-03-15 10:58:13.937
5,condiments_sauces,,2025-03-15 10:58:13.937,2025-03-15 10:58:13.937
6,dairy,,2025-03-15 10:58:13.937,2025-03-15 10:58:13.937
7,eggs,,2025-03-15 10:58:13.937,2025-03-15 10:58:13.937
8,fats_oils,,2025-03-15 10:58:13.937,2025-03-15 10:58:13.937
9,fermented_foods,,2025-03-15 10:58:13.937,2025-03-15 10:58:13.937
10,flavorings_extracts,,2025-03-15 10:58:13.937,2025-03-15 10:58:13.937
11,fruits,,2025-03-15 10:58:13.937,2025-03-15 10:58:13.937
12,grains_cereals,,2025-03-15 10:58:13.937,2025-03-15 10:58:13.937
13,herbs_spices,,2025-03-15 10:58:13.937,2025-03-15 10:58:13.937
14,legumes_beans,,2025-03-15 10:58:13.937,2025-03-15 10:58:13.937
15,meat,,2025-03-15 10:58:13.937,2025-03-15 10:58:13.937
16,mushrooms,,2025-03-15 10:58:13.937,2025-03-15 10:58:13.937
17,non_alcoholic_beverages,,2025-03-15 10:58:13.937,2025-03-15 10:58:13.937
18,nuts_seeds,,2025-03-15 10:58:13.937,2025-03-15 10:58:13.937
19,other,,2025-03-15 10:58:13.937,2025-03-15 10:58:13.937
20,pasta_noodles,,2025-03-15 10:58:13.937,2025-03-15 10:58:13.937
21,plant_based_proteins,,2025-03-15 10:58:13.937,2025-03-15 10:58:13.937
22,poultry,,2025-03-15 10:58:13.937,2025-03-15 10:58:13.937
23,seafood,,2025-03-15 10:58:13.937,2025-03-15 10:58:13.937
24,seaweed,,2025-03-15 10:58:13.937,2025-03-15 10:58:13.937
25,sugars_sweeteners,,2025-03-15 10:58:13.937,2025-03-15 10:58:13.937
26,vegetables,,2025-03-15 10:58:13.937,2025-03-15 10:58:13.937
27,vitamins_minerals_supplements,,2025-03-15 10:58:13.937,2025-03-15 10:58:13.937
28,water,,2025-03-15 10:58:13.937,2025-03-15 10:58:13.937
