id,name,translation,desc,yield,is_live,updated_at,imperial,metric
4,none,,"The ingredient is left unprocessed or uncut, used in its natural state as received (e.g., whole vegetables, raw meat cuts, or intact fruit). No cutting or preparation is applied beyond basic cleaning or trimming.",1.000,true,2025-04-04 11:09:52.674,none,none
5,10x10mm,,"Ingredients are cut into small, uniform cubes measuring 10 millimeters (1 cm) on each side. Suitable for vegetables, fruits, or tender meats, often used for garnishes or even cooking.",0.950,true,2025-04-04 11:09:52.674,0.4 in x 0.4 in x 0.4 in,10 mm x 10 mm x 10 mm
6,15x15mm,,Ingredients are diced into medium cubes measuring 15 millimeters (1.5 cm) on each side. Common for stews or dishes where slightly larger pieces are desired.,0.950,true,2025-04-04 11:09:52.674,0.6 in x 0.6 in x 0.6 in,15 mm x 15 mm x 15 mm
7,20x20mm,,Ingredients are cut into larger cubes measuring 20 millimeters (2 cm) on each side. Ideal for hearty dishes like roasts or chunky vegetable medleys.,0.950,true,2025-04-04 11:09:52.674,0.8 in x 0.8 in x 0.8 in,20 mm x 20 mm x 20 mm
8,fine,,"Ingredients are very finely chopped or processed into small, uniform pieces, typically less than 2-3 mm in size. Used for meats, or fruits when a delicate texture is needed (e.g., fine herbs or fruit purées).",0.940,true,2025-04-04 11:09:52.674,< 0.08-0.12 in,< 2-3 mm
9,ground,,"Ingredients (usually meat, but sometimes fruits or vegetables) are mechanically processed into a paste-like consistency using a grinder or food processor. Common for minced meat or fruit bases.",0.950,true,2025-04-04 11:09:52.674,Ground fine,Ground fine
10,ground - fine,,"This is one of the smallest and most common grind sizes. ",0.920,true,2025-04-04 11:09:52.674,1/8 inch," 3-4 mm"
11,ground - medium,,"Common for burgers, tacos, Bolognese sauce, or shepherd’s pie. ",0.950,true,2025-04-04 11:09:52.674,3/16 to 1/4 inch,5-6 mm
12,ground - coarse,,"A chunkier grind, often used for hearty dishes like chili, stews, or specialty burgers where you want more bite.",0.950,true,2025-04-04 11:09:52.674,3/8 inch,8-10 mm
13,grate,,"Ingredients are shredded into small, thin fragments using a grater. Often applied to vegetables (e.g., carrots), fruits (e.g., apples), or even firm meats for specific recipes.",0.950,true,2025-04-04 11:09:52.674,"Varies, typically 0.04-0.2 in fragments","Varies, typically 1-5 mm fragments"
