id,ingredients_id,raw,cooked,deep_fry,shallow_fry,boiled,roasted,updated_at,created_at,custom,custom_name
43,687,1.000,0.000,0.000,0.000,0.000,0.000,2025-03-31 21:16:10.538,2025-03-31 21:16:10.538,0.000,Custom
44,688,1.000,1.000,0.000,0.000,0.000,0.000,2025-03-31 21:16:20.762,2025-03-31 21:16:20.762,0.000,Custom
45,689,1.000,0.900,0.800,0.850,0.950,0.850,2025-03-31 21:16:30.835,2025-03-31 21:16:30.835,0.000,Custom
46,690,1.000,0.000,0.000,0.000,0.000,0.000,2025-03-31 21:17:10.977,2025-03-31 21:17:10.977,0.000,Custom
47,691,1.000,0.900,0.000,0.000,0.900,0.850,2025-03-31 21:17:19.288,2025-03-31 21:17:19.288,0.000,Custom
48,692,1.000,0.800,0.700,0.750,0.850,0.750,2025-03-31 21:17:29.721,2025-03-31 21:17:29.721,0.000,Custom
49,693,1.000,0.900,0.000,0.000,0.000,0.850,2025-03-31 21:18:11.266,2025-03-31 21:18:11.266,0.000,Custom
50,694,1.000,1.000,1.000,1.000,1.000,1.000,2025-03-31 21:18:22.267,2025-03-31 21:18:22.267,0.000,Custom
51,695,1.000,0.900,0.000,0.000,0.900,0.850,2025-03-31 21:18:33.368,2025-03-31 21:18:33.368,0.000,Custom
52,696,1.000,1.000,0.000,0.000,0.000,0.000,2025-03-31 21:19:08.635,2025-03-31 21:19:08.635,0.000,Custom
53,697,1.000,1.000,0.000,0.000,0.000,0.000,2025-03-31 21:19:17.791,2025-03-31 21:19:17.791,0.000,Custom
54,698,1.000,0.000,0.000,0.000,0.000,0.000,2025-03-31 21:19:27.865,2025-03-31 21:19:27.865,0.000,Custom
55,699,1.000,2.700,0.000,0.000,2.700,0.000,2025-03-31 21:20:10.484,2025-03-31 21:20:10.484,0.000,Custom
56,700,1.000,0.000,0.000,0.000,0.000,0.000,2025-03-31 21:20:20.439,2025-03-31 21:20:20.439,0.000,Custom
57,701,1.000,0.800,0.000,0.000,0.000,0.000,2025-03-31 21:20:32.911,2025-03-31 21:20:32.911,0.000,Custom
58,702,1.000,1.000,0.000,0.000,1.000,0.000,2025-03-31 21:21:10.263,2025-03-31 21:21:10.263,0.000,Custom
59,703,1.000,2.700,0.000,0.000,2.700,0.000,2025-03-31 21:21:22.429,2025-03-31 21:21:22.429,0.000,Custom
60,704,1.000,0.850,0.000,0.000,0.850,0.000,2025-03-31 21:21:34.057,2025-03-31 21:21:34.057,0.000,Custom
61,705,1.000,2.700,0.000,0.000,2.700,0.000,2025-03-31 21:22:08.835,2025-03-31 21:22:08.835,0.000,Custom
62,706,1.000,0.750,0.000,0.000,0.000,0.700,2025-03-31 21:22:20.902,2025-03-31 21:22:20.902,0.000,Custom
63,707,1.000,0.900,0.000,0.000,0.900,0.850,2025-03-31 21:22:31.813,2025-03-31 21:22:31.813,0.000,Custom
64,708,1.000,0.900,0.000,0.000,0.000,0.000,2025-03-31 21:23:11.703,2025-03-31 21:23:11.703,0.000,Custom
65,709,1.000,0.000,0.000,0.000,0.000,0.000,2025-03-31 21:23:22.178,2025-03-31 21:23:22.178,0.000,Custom
66,710,1.000,1.000,0.000,0.000,0.000,0.000,2025-03-31 21:23:31.241,2025-03-31 21:23:31.241,0.000,Custom
67,711,1.000,0.000,0.000,0.000,0.000,0.000,2025-03-31 21:24:13.271,2025-03-31 21:24:13.271,0.000,Custom
68,712,1.000,0.700,0.000,0.000,0.700,0.700,2025-03-31 21:24:22.991,2025-03-31 21:24:22.991,0.000,Custom
69,713,1.000,1.000,0.000,0.000,0.000,0.000,2025-03-31 21:24:32.279,2025-03-31 21:24:32.279,0.000,Custom
70,715,1.000,0.900,0.000,0.000,0.900,0.850,2025-03-31 21:25:21.99,2025-03-31 21:25:21.99,0.000,Custom
71,716,1.000,0.750,0.000,0.000,0.750,0.750,2025-03-31 21:25:30.32,2025-03-31 21:25:30.32,0.000,Custom
72,717,1.000,2.500,0.000,0.000,0.000,0.000,2025-03-31 21:26:12.805,2025-03-31 21:26:12.805,0.000,Custom
73,718,1.000,1.000,0.000,0.000,0.000,0.000,2025-03-31 21:26:22.594,2025-03-31 21:26:22.594,0.000,Custom
74,720,1.000,0.900,0.700,0.800,0.900,0.800,2025-03-31 21:27:10.352,2025-03-31 21:27:10.352,0.000,Custom
